createdAt,culture,doneMissionCount,farmName,harvest,idBusinessUnit,lateMissionCount,pendingMissionCount,pestCount,photoProgrammedAt,plotName,primaryPest,requestGPS,trapCode,trapId,trapInfestationLevel,trapStatus,trapType,trapBatteryStatus,damage_weight,infest_numeric,alert_index,acima_alert,acima_control,acima_damage,pest_delta,dias_desde_ultima_leitura,taxa_crescimento_diario,trend,surtos_consecutivos,eficacia_missao_pct,priority_status,data_leitura
2025-11-28 13:37:16.988000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,"3,5721E+14",1135060,-,INACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,0,0.0,🟢 NORMAL,2025-11-28
2025-11-28 14:14:59.885000+00:00,Milho,9,-,2025/2026,53560,0,0,99.0,07:00:00,-,Cigarrinha,False,CIGARRINHA2,1135064,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 14:14:59.885000+00:00,Milho,2,-,2025/2026,53560,0,0,51.0,07:00:00,-,Cigarrinha,False,CIGARRINHA2,1135064,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-48.0,0.0,-48.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-11-28 14:14:59.885000+00:00,Milho,1,-,2025/2026,53560,0,0,32.0,07:00:00,-,Cigarrinha,False,CIGARRINHA2,1135064,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-19.0,0.0,-19.0,Crescente,3,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-11-28
2025-12-01 12:39:10.338000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA8164,1135065,-,INACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,0,0.0,🟢 NORMAL,2025-12-01
2025-12-01 12:40:44.033000+00:00,Milho,0,-,2025/2026,53560,0,0,125.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135066,DAMAGE,INACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,0.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-01
2025-12-01 12:40:44.033000+00:00,Milho,0,-,2025/2026,53560,0,0,32.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135066,DAMAGE,INACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-93.0,0.0,-93.0,Crescente,2,0.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-01
2025-12-01 12:40:44.033000+00:00,Milho,0,-,2025/2026,53560,0,0,12.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135066,LOW,INACTIVE,CONVENTIONAL,,4,1.0,4.0,True,False,False,-20.0,0.0,-20.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-12-01
2025-12-03 11:49:21.351000+00:00,Milho,4,-,2025/2026,53560,0,0,35.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135068,DAMAGE,ACTIVE,CONVENTIONAL,,5,3.0,15.0,True,True,True,0.0,0.0,0.0,Crescente,1,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-03
2025-12-03 11:49:21.351000+00:00,Milho,1,-,2025/2026,53560,5,0,1.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135068,LOW,ACTIVE,CONVENTIONAL,,5,1.0,5.0,False,False,False,-34.0,0.0,-34.0,Estável/Caindo,1,16.7,🟢 NORMAL,2025-12-03
2025-12-03 11:49:21.351000+00:00,Milho,1,-,2025/2026,53560,0,0,0.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135068,LOW,ACTIVE,CONVENTIONAL,,5,1.0,5.0,False,False,False,-1.0,0.0,-1.0,Estável/Caindo,1,100.0,🟢 NORMAL,2025-12-03
2025-12-03 11:49:21.839000+00:00,Milho,0,-,2025/2026,53560,0,0,35.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135069,DAMAGE,ACTIVE,CONVENTIONAL,,5,3.0,15.0,True,True,True,0.0,0.0,0.0,Crescente,1,0.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-03
2025-12-03 11:49:21.839000+00:00,Milho,0,-,2025/2026,53560,0,0,1.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135069,LOW,ACTIVE,CONVENTIONAL,,5,1.0,5.0,False,False,False,-34.0,0.0,-34.0,Estável/Caindo,1,0.0,🟢 NORMAL,2025-12-03
2025-12-03 11:49:21.839000+00:00,Milho,0,-,2025/2026,53560,0,0,0.0,07:00:00,-,Lagarta Spodoptera,False,FARMLAB2,1135069,LOW,ACTIVE,CONVENTIONAL,,5,1.0,5.0,False,False,False,-1.0,0.0,-1.0,Estável/Caindo,1,0.0,🟢 NORMAL,2025-12-03
2026-02-08 18:03:27.080000+00:00,Milho,0,-,2025/2026,53560,0,0,3.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135070,ALERT,ACTIVE,ELECTRONIC,IDEAL,5,2.0,10.0,True,False,False,0.0,0.0,0.0,Crescente,1,0.0,🔴 CRÍTICO — Infestação em Expansão,2026-02-08
2026-02-22 18:03:26.782000+00:00,Milho,0,-,2025/2026,53560,2,0,0.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135070,LOW,ACTIVE,ELECTRONIC,IDEAL,5,1.0,5.0,False,False,False,-3.0,14.0,-0.21,Estável/Caindo,1,0.0,🟢 NORMAL,2026-02-22
2026-02-25 18:50:57.390000+00:00,Milho,0,-,2025/2026,53560,0,0,0.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135070,LOW,ACTIVE,ELECTRONIC,IDEAL,5,1.0,5.0,False,False,False,0.0,3.03,0.0,Estável/Caindo,1,0.0,🟢 NORMAL,2026-02-25
2025-12-03 12:38:42.967000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Cigarrinha,False,CIGARRINHA8164,1135071,-,INACTIVE,CONVENTIONAL,,4,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,0,0.0,🟢 NORMAL,2025-12-03
2025-12-03 12:44:57.400000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Lagarta Spodoptera,False,"3,5721E+14",1135072,-,INACTIVE,ELECTRONIC,,5,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,0,0.0,🟢 NORMAL,2025-12-03
2025-12-03 12:45:29.056000+00:00,Milho,6,-,2025/2026,53560,6,0,125.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135073,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,True,0.0,0.0,0.0,Crescente,1,50.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-03
2025-12-03 12:45:29.056000+00:00,Milho,2,-,2025/2026,53560,0,0,32.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135073,DAMAGE,ACTIVE,CONVENTIONAL,,4,3.0,12.0,True,True,False,-93.0,0.0,-93.0,Crescente,2,100.0,🔴 CRÍTICO — Infestação em Expansão,2025-12-03
2025-12-03 12:45:29.056000+00:00,Milho,0,-,2025/2026,53560,0,0,12.0,07:00:00,-,Cigarrinha,False,CIGARRINHA1654,1135073,LOW,ACTIVE,CONVENTIONAL,,4,1.0,4.0,True,False,False,-20.0,0.0,-20.0,Estável/Caindo,2,0.0,🟢 NORMAL,2025-12-03
2026-02-08 18:03:27.080000+00:00,Milho,0,-,2025/2026,53560,2,0,3.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135075,ALERT,ACTIVE,ELECTRONIC,IDEAL,5,2.0,10.0,True,False,False,0.0,0.0,0.0,Crescente,1,0.0,🔴 CRÍTICO — Infestação em Expansão,2026-02-08
2026-02-22 18:03:26.782000+00:00,Milho,0,-,2025/2026,53560,2,0,0.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135075,LOW,ACTIVE,ELECTRONIC,IDEAL,5,1.0,5.0,False,False,False,-3.0,14.0,-0.21,Estável/Caindo,1,0.0,🟢 NORMAL,2026-02-22
2026-02-25 18:50:57.390000+00:00,Milho,0,-,2025/2026,53560,1,0,0.0,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135075,LOW,ACTIVE,ELECTRONIC,IDEAL,5,1.0,5.0,False,False,False,0.0,3.03,0.0,Estável/Caindo,1,0.0,🟢 NORMAL,2026-02-25
2025-12-03 13:09:00.470000+00:00,Milho,0,-,2025/2026,53560,0,0,,07:00:00,-,Lagarta Spodoptera,True,"3,5721E+14",1135076,-,INACTIVE,ELECTRONIC,,5,0.0,0.0,False,False,False,0.0,0.0,0.0,Estável/Caindo,0,0.0,🟢 NORMAL,2025-12-03
